Indicator_Trend,Detailed_Indicator_Trend,Unit,OECD_Country,Value,Year,Comparison_to_OECD_average,Labels (multiple graphs only)
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,OECD,2387.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Chile,90.3,2023,better,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Portugal,86.7,2023,better,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Spain,85.7,2023,better,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Costa Rica,84.1,2023,better,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Japan,83.4,2023,better,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Australia,82.7,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Canada,82.6,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Italy,81.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Ireland,80.9,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,New Zealand,80.7,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Denmark,80.4,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Belgium,78.7,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Finland,78.5,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,France,78.4,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Iceland,77.8,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Germany,76.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,United Kingdom,75.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Austria,74.8,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Norway,74.6,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Greece,73.6,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Sweden,72,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Luxembourg,71.5,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Colombia,71.4,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Latvia,70.6,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,United States,69.5,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Lithuania,68.4,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Netherlands,68.1,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Czech Republic,65.7,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Israel,65.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Estonia,65,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Mexico,64.2,2023,similar,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Turkey,62.3,2023,worse,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Hungary,62.3,2023,worse,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Slovenia,57.7,2023,worse,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Poland,56.8,2023,worse,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,Slovak Republic,45.7,2023,worse,
COVID-19 VACCINATION,Percentage of people in Canada fully vaccinated for COVID-19,percent_people_fully_vaccinated,OECD,73.4,--,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Turkey,4.4,2019,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Greece,4.6,2019,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Luxembourg,5.4,2021,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Israel,5.7,2020,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Italy,5.8,2017,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Colombia,5.9,2019,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Mexico,6.3,2020,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Slovak Republic,6.6,2019,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Costa Rica,7,2020,better,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Spain,7.6,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,United Kingdom,8.4,2020,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Portugal,8.5,2018,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Ireland,9.4,2018,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Denmark,9.7,2018,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Germany,9.7,2020,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Chile,10,2018,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Netherlands,10,2020,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Iceland,10.2,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Canada,10.5,2019,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Austria,11,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Czech Republic,11.1,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Switzerland,11.1,2019,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Poland,11.6,2019,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Norway,11.8,2016,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,New Zealand,12.1,2016,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_deaths_per_1M,France,12.3,2017,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Australia,12.4,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Sweden,12.4,2018,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Latvia,12.7,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Finland,13.4,2019,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Estonia,13.6,2021,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,United States,14.1,2020,similar,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Japan,14.6,2019,worse,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Hungary,14.8,2019,worse,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Belgium,15.2,2018,worse,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Slovenia,15.7,2020,worse,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Lithuania,18.5,2021,worse,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,Korea,24.1,2020,outlier,
DEATHS BY SUICIDE,"Mortality rate due to suicide, per 100,000 population",total_per_100K_persons,OECD,10.7,--,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Mexico,7.7,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Colombia,9.1,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Turkey,9.2,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Costa Rica,10.7,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Israel,11,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Hungary,11.3,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Poland,11.4,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Korea,11.8,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Ireland,12.2,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,United States,12.7,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Slovenia,12.9,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Chile,13.3,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,New Zealand,14.7,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Estonia,16,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Latvia,16.4,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Lithuania,17.3,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,United Kingdom,17.6,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Denmark,17.6,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Netherlands,17.8,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Austria,18.5,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Sweden,18.7,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Belgium,18.8,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Finland,20.2,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Spain,20.8,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Germany,21.8,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Portugal,21.9,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Greece,23.2,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Italy,23.7,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Australia,15.1,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Canada,13.9,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Czech Republic,11.2,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,France,20.8,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Iceland,14,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Japan,26.7,2021,worse,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Luxembourg,13.6,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Norway,15.7,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Slovak Republic,9,2021,better,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,Switzerland,18.3,2021,similar,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimers disease, per 100,000 (age 65 years and older)",rate_per_1000_population,OECD,15.7,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Mexico,83.4,2022,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Austria,85,2021,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Estonia,85,2022,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Slovenia,86,2021,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Colombia,87,2022,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Finland,89,2021,worse,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,New Zealand,89.3,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Lithuania,90,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Poland,90,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Germany,91,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Canada,92,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Iceland,92.2,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,United Kingdom,92.3,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Ireland,92.7,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Netherlands,92.9,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,United States,93,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Spain,93.3,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Czech Republic,93.7,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Italy,93.9,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Australia,94.2,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Sweden,94.3,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Costa Rica,95.2,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Latvia,95.2,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Turkey,95.5,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Chile,95.6,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Denmark,95.8,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Switzerland,96,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,France,96.4,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Slovak Republic,96.5,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Norway,96.6,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Korea,97.2,2022,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Israel,97.6,2021,similar,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Belgium,98,2021,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Japan,98.8,2021,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Greece,99,2021,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Luxembourg,99,2021,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Portugal,99,2021,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,Hungary,99.9,2022,better,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",percent,OECD,93.5,--,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Japan,20.4,2019,better,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Korea,19.8,2019,better,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,France,19.7,2019,better,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Switzerland,19.5,2019,better,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Israel,19.3,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Spain,19.2,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Iceland,19,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Canada,19,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Australia,19,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Italy,18.9,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Sweden,18.9,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Costa Rica,18.7,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Portugal,18.6,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Ireland,18.6,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,New Zealand,18.6,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Luxembourg,18.5,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Germany,18.5,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Finland,18.5,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Norway,18.5,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Greece,18.4,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Netherlands,18.4,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Chile,18.4,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Austria,18.4,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,United Kingdom,18.3,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Denmark,18.2,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Belgium,18.2,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Colombia,18.1,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Slovenia,17.8,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Estonia,17.3,2019,similar,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Poland,16.8,2019,worse,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Turkey,16.6,2019,worse,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,Slovak Republic,16.6,2019,worse,
HEALTH-ADJUSTED LIFE EXPECTANCY AT AGE 65,"Health-adjusted life expectancy at age 65, in years",--,United States,16.4,2019,worse,
